id,left,top,right,bottom,row_index,col_index,risk_count,risk_sum,risk_mean,risk_min,risk_max
1,548979.316731236,7773118.41310252,549229.316731236,7772868.41310252,0,0,0,0,,,
2,548979.316731236,7772868.41310252,549229.316731236,7772618.41310252,1,0,0,0,,,
3,548979.316731236,7772618.41310252,549229.316731236,7772368.41310252,2,0,0,0,,,
4,548979.316731236,7772368.41310252,549229.316731236,7772118.41310252,3,0,0,0,,,
5,548979.316731236,7772118.41310252,549229.316731236,7771868.41310252,4,0,0,0,,,
6,548979.316731236,7771868.41310252,549229.316731236,7771618.41310252,5,0,0,0,,,
7,548979.316731236,7771618.41310252,549229.316731236,7771368.41310252,6,0,0,0,,,
8,548979.316731236,7771368.41310252,549229.316731236,7771118.41310252,7,0,0,0,,,
9,548979.316731236,7771118.41310252,549229.316731236,7770868.41310252,8,0,0,0,,,
10,548979.316731236,7770868.41310252,549229.316731236,7770618.41310252,9,0,0,0,,,
11,548979.316731236,7770618.41310252,549229.316731236,7770368.41310252,10,0,0,0,,,
12,548979.316731236,7770368.41310252,549229.316731236,7770118.41310252,11,0,0,0,,,
13,548979.316731236,7770118.41310252,549229.316731236,7769868.41310252,12,0,0,0,,,
14,548979.316731236,7769868.41310252,549229.316731236,7769618.41310252,13,0,1482,5405.19993638992,3.64723342536432,1,6.19999980926514
15,548979.316731236,7769618.41310252,549229.316731236,7769368.41310252,14,0,8288,35876.0000198483,4.32866795606278,0.800000011920929,7.40000009536743
16,548979.316731236,7769368.41310252,549229.316731236,7769118.41310252,15,0,6041,23055.0002055168,3.81642115635107,1,7.40000009536743
17,548979.316731236,7769118.41310252,549229.316731236,7768868.41310252,16,0,9500,35925.4001600146,3.78162106947522,0.800000011920929,7.40000009536743
18,548979.316731236,7768868.41310252,549229.316731236,7768618.41310252,17,0,9500,33675.7998788357,3.54482103987744,0.800000011920929,7.40000009536743
19,548979.316731236,7768618.41310252,549229.316731236,7768368.41310252,18,0,9500,41578.7993919849,4.3767157254721,1,7.40000009536743
20,548979.316731236,7768368.41310252,549229.316731236,7768118.41310252,19,0,9500,39634.39961797,4.17204206504947,0.800000011920929,7.40000009536743
21,548979.316731236,7768118.41310252,549229.316731236,7767868.41310252,20,0,8778,28844.5999635458,3.28601047659442,0.800000011920929,7.40000009536743
22,548979.316731236,7767868.41310252,549229.316731236,7767618.41310252,21,0,0,0,,,
23,548979.316731236,7767618.41310252,549229.316731236,7767368.41310252,22,0,0,0,,,
24,548979.316731236,7767368.41310252,549229.316731236,7767118.41310252,23,0,0,0,,,
25,548979.316731236,7767118.41310252,549229.316731236,7766868.41310252,24,0,0,0,,,
26,548979.316731236,7766868.41310252,549229.316731236,7766618.41310252,25,0,0,0,,,
27,548979.316731236,7766618.41310252,549229.316731236,7766368.41310252,26,0,0,0,,,
28,549229.316731236,7773118.41310252,549479.316731236,7772868.41310252,0,1,0,0,,,
29,549229.316731236,7772868.41310252,549479.316731236,7772618.41310252,1,1,0,0,,,
30,549229.316731236,7772618.41310252,549479.316731236,7772368.41310252,2,1,0,0,,,
31,549229.316731236,7772368.41310252,549479.316731236,7772118.41310252,3,1,0,0,,,
32,549229.316731236,7772118.41310252,549479.316731236,7771868.41310252,4,1,0,0,,,
33,549229.316731236,7771868.41310252,549479.316731236,7771618.41310252,5,1,0,0,,,
34,549229.316731236,7771618.41310252,549479.316731236,7771368.41310252,6,1,0,0,,,
35,549229.316731236,7771368.41310252,549479.316731236,7771118.41310252,7,1,0,0,,,
36,549229.316731236,7771118.41310252,549479.316731236,7770868.41310252,8,1,0,0,,,
37,549229.316731236,7770868.41310252,549479.316731236,7770618.41310252,9,1,0,0,,,
38,549229.316731236,7770618.41310252,549479.316731236,7770368.41310252,10,1,0,0,,,
39,549229.316731236,7770368.41310252,549479.316731236,7770118.41310252,11,1,0,0,,,
40,549229.316731236,7770118.41310252,549479.316731236,7769868.41310252,12,1,0,0,,,
41,549229.316731236,7769868.41310252,549479.316731236,7769618.41310252,13,1,5850,23031.999923408,3.93709400400137,0.800000011920929,7.40000009536743
